order_id,user_id,order_date,order_status,total_amount
1,9310,2025-09-09T14:52:37.293,processing,689.66
2,3247,2025-04-15T01:18:27.193,completed,1666.85
3,7252,2025-04-27T15:37:48.009,processing,665.06
4,8986,2025-10-04T20:35:22.205,cancelled,689.5
5,8537,2024-11-13T08:15:18.498,cancelled,860.5
6,3449,2024-10-13T09:02:26.849,completed,2258.34
7,6985,2024-05-01T04:44:56.418,returned,769.71
8,7661,2024-03-03T23:33:22.845,completed,15.21
9,610,2025-10-29T07:00:11.204,cancelled,229.02
10,3175,2024-08-13T07:04:24.299,returned,107.63
11,4470,2025-08-14T09:59:55.224,shipped,1016.61
12,9480,2025-08-27T09:57:48.993,cancelled,600.23
13,3631,2025-01-03T18:04:29.010,processing,15.87
14,9493,2025-06-15T22:26:58.985,shipped,520.96
15,3336,2024-07-16T18:07:56.184,returned,1416.93
16,6392,2025-10-01T07:52:15.796,processing,127.42
17,6684,2024-08-05T20:28:39.310,processing,227.48
18,792,2024-11-10T21:40:57.180,cancelled,601.16
19,4785,2024-11-26T15:18:00.424,returned,135.38
20,7957,2024-07-13T06:57:25.770,completed,398.84
21,2529,2025-07-30T08:08:33.422,completed,209.51
22,4486,2024-08-28T22:17:59.087,shipped,1072.94
23,7432,2024-05-19T11:26:48.774,returned,119.02
24,3345,2025-06-20T17:10:48.148,completed,803.47
25,6241,2024-01-23T02:00:10.376,shipped,521.99
26,638,2025-06-24T23:57:30.673,shipped,54.13
27,6102,2025-10-31T11:20:46.871,returned,495.94
28,7489,2024-01-09T07:28:10.638,processing,334.14
29,6599,2025-05-23T18:15:57.806,shipped,950.63
30,2144,2024-02-07T15:08:03.396,shipped,265.14
31,7162,2024-11-19T07:31:43.816,cancelled,4942.06
32,7933,2024-03-18T17:21:40.790,returned,194.49
33,286,2024-05-29T17:27:31.175,processing,2028.84
34,1759,2025-10-23T14:39:53.536,completed,366.56
35,7158,2024-02-19T10:35:26.319,processing,55.44
36,9692,2024-05-14T21:27:14.167,cancelled,858.97
37,2635,2025-11-03T23:18:22.553,completed,19.77
38,4419,2025-06-30T05:15:33.266,shipped,1797.9
39,5127,2024-11-09T01:20:49.223,shipped,2803.64
40,2158,2025-11-03T21:23:24.065,returned,82.61
41,891,2024-02-12T19:23:23.731,processing,67.1
42,7175,2025-05-05T12:29:18.506,shipped,274.27
43,5178,2024-06-05T17:15:52.360,returned,351.45
44,8621,2025-11-06T10:56:40.563,shipped,158.28
45,3734,2024-03-31T19:14:31.354,shipped,124.94
46,7376,2024-02-09T11:42:31.043,processing,489.21
47,4124,2024-04-13T23:26:42.621,cancelled,852.12
48,5265,2024-10-29T06:00:16.628,returned,834.55
49,67,2024-06-06T06:24:36.745,processing,217.17
50,8607,2024-09-21T00:41:15.551,processing,225.99
51,1487,2025-03-24T09:25:52.188,returned,49.59
52,6522,2024-09-13T23:23:40.280,processing,834.66
53,1555,2024-06-18T14:09:39.579,returned,593.67
54,3166,2024-04-14T00:52:49.164,cancelled,133.02
55,5524,2024-10-07T17:26:47.586,processing,188.7
56,3377,2024-01-13T09:15:18.977,cancelled,229.11
57,3939,2024-04-08T22:25:04.246,returned,18.64
58,2279,2024-09-16T16:27:35.475,shipped,31.39
59,4843,2024-03-27T22:03:32.179,processing,93.94
60,4239,2025-05-18T12:26:50.082,processing,24.35
61,3431,2025-08-30T23:24:52.555,processing,1058.07
62,9887,2024-09-28T22:07:38.713,shipped,1592
63,1271,2024-02-24T19:27:27.788,completed,1087.18
64,6235,2025-09-07T08:53:29.710,cancelled,1269.08
65,9764,2025-08-10T14:12:56.631,returned,1313.93
66,3806,2025-02-24T21:30:03.712,cancelled,1493.59
67,1740,2024-04-06T15:52:23.905,completed,197.83
68,5875,2024-02-10T22:08:32.431,completed,403.18
69,7490,2025-03-22T23:03:28.499,processing,2659.83
70,4383,2024-08-28T20:23:05.791,cancelled,2118.73
71,8449,2025-05-26T23:44:41.740,completed,222.12
72,7276,2024-03-13T13:49:45.349,shipped,586.48
73,383,2025-01-18T01:09:42.841,returned,48.09
74,1053,2024-10-10T10:10:23.026,shipped,52.93
75,3631,2025-04-14T15:40:35.089,processing,420.44
76,6851,2025-08-15T00:34:10.087,completed,357.16
77,5127,2024-12-31T15:25:19.808,cancelled,1836
78,5863,2025-03-31T20:24:31.152,shipped,186.4
79,8184,2025-06-21T13:36:12.194,shipped,1266.95
80,7964,2025-05-12T17:07:08.645,completed,383.26
81,280,2024-04-19T23:38:20.300,processing,777.99
82,2630,2024-07-17T14:13:08.770,completed,1206.21
83,4873,2024-10-10T03:29:56.568,processing,25.52
84,4193,2025-05-29T01:07:55.911,shipped,77.27
85,9453,2024-12-10T13:32:48.943,processing,661.52
86,4906,2025-04-14T17:21:35.502,processing,281.05
87,2432,2025-10-07T21:05:06.628,cancelled,168.44
88,1613,2024-12-26T04:21:18.903,cancelled,83.17
89,4756,2025-06-15T16:01:43.602,returned,751.36
90,3655,2025-09-13T09:02:15.898,cancelled,57.1
91,6570,2024-01-23T19:27:57.909,completed,1707.41
92,1781,2025-11-05T21:48:45.913,cancelled,253.86
93,2932,2024-04-13T04:02:02.471,completed,95.4
94,8738,2025-05-02T01:53:35.295,cancelled,14.99
95,2227,2025-10-24T13:48:18.645,processing,52.87
96,2173,2024-07-28T13:12:40.751,shipped,178.96
97,2710,2024-11-29T11:23:36.772,processing,100.3
98,1491,2024-10-06T16:57:56.200,cancelled,1435.2
99,6836,2025-06-03T06:26:34.186,completed,256.9
100,7744,2025-01-27T04:41:33.881,returned,1583.93
101,9367,2024-08-02T03:02:37.609,shipped,312.65
102,795,2024-08-12T10:45:05.387,processing,544.65
103,8095,2024-11-08T16:45:07.140,cancelled,226.13
104,7392,2025-01-23T05:17:17.550,processing,459.63
105,8882,2024-08-14T17:59:52.580,shipped,164.91
106,8953,2025-11-12T14:11:17.170,returned,153.71
107,5095,2024-09-11T20:08:42.841,cancelled,91.42
108,3853,2025-07-31T08:45:48.742,cancelled,973.82
109,1398,2025-03-22T00:18:41.952,returned,103.67
110,5833,2024-08-21T06:06:04.505,returned,808.1
111,6403,2024-01-09T18:41:50.199,cancelled,126.05
112,2203,2024-12-16T09:01:04.737,shipped,1226.59
113,1974,2024-11-30T03:52:58.423,cancelled,71.4
114,2688,2025-03-26T17:33:55.397,completed,114.08
115,7745,2024-11-28T12:07:51.468,cancelled,183.95
116,180,2024-02-29T05:18:07.037,processing,263.98
117,1913,2024-11-13T00:43:01.827,returned,22.38
118,7481,2024-09-26T09:42:37.580,processing,231.8
119,9061,2025-06-25T12:56:53.238,shipped,71.07
120,716,2024-10-23T06:33:46.385,returned,354.29
121,1240,2025-05-25T22:08:43.503,shipped,74.93
122,5566,2024-03-09T20:18:10.664,processing,292.52
123,5052,2025-03-24T22:46:09.392,completed,132.13
124,6150,2024-02-14T08:42:51.499,completed,1541.87
125,5706,2024-02-15T06:08:51.661,cancelled,1423.47
126,2931,2025-02-06T00:47:54.354,processing,840.44
127,7738,2024-07-20T12:02:32.633,cancelled,321.85
128,975,2024-04-09T03:14:12.597,shipped,39
129,3622,2024-06-30T07:50:34.267,processing,587.55
130,4647,2024-03-02T06:21:44.789,processing,390.56
131,130,2025-01-24T23:34:39.157,cancelled,36.54
132,2510,2024-08-07T01:26:55.956,returned,183.58
133,7445,2025-09-07T02:01:22.824,returned,71.59
134,4675,2024-09-04T21:21:09.765,completed,35.22
135,2302,2025-06-29T16:37:42.016,shipped,359.64
136,1440,2025-04-08T05:33:39.039,cancelled,327.99
137,1427,2024-01-14T15:42:32.408,processing,192.38
138,6921,2024-02-19T08:03:47.924,cancelled,2154.33
139,2993,2025-01-11T11:27:26.508,cancelled,1245.6
